Event,Sample,Comments
Hopsource 2022 - Washington,Dried Hops,Complex and clean
Hopsource 2022 - Washington,Dried Hops,Vinous grape
Hopsource 2022 - Washington,Dried Hops,red flowers
Hopsource 2022 - Washington,Dried Hops,Muted
Hopsource 2022 - Washington,Dried Hops,Some fruity
Hopsource 2022 - Washington,Dried Hops,Spice
Hopsource 2022 - Washington,Dried Hops,tea
Hopsource 2022 - Washington,Dried Hops,rose
Hopsource 2022 - Washington,Dried Hops,tangerine
Hopsource 2022 - Washington,Dried Hops,ginger
Hopsource 2022 - Washington,Dried Hops,rosewater
Hopsource 2022 - Washington,Dried Hops,mixed berry 
Hopsource 2022 - Washington,Dried Hops,Pulpy orange/mango fleshy
Hopsource 2022 - Washington,Dried Hops,ripe
Hopsource 2022 - Washington,Dried Hops,peach candy
Hopsource 2022 - Washington,Dried Hops,garlic
Hopsource 2022 - Washington,Dried Hops,Reminds me of mustard
Hopsource 2022 - Washington,Dried Hops,Nice combo of melon and pine
Hopsource 2022 - Washington,Dried Hops,Pog
Hopsource 2022 - Washington,Dried Hops,nectarines and peaches
Hopsource 2022 - Washington,Dried Hops,with peach
Hopsource 2022 - Washington,Dried Hops,cedar
Hopsource 2022 - Washington,Dried Hops,incredibly good and balanced with so much fruit
Hopsource 2022 - Washington,Dried Hops,Cucumber
Hopsource 2022 - Washington,Dried Hops,lilac
Hopsource 2022 - Washington,Dried Hops,fruity pebbles
Hopsource 2022 - Washington,Dried Hops,fresh green bell peppers
Hopsource 2022 - Washington,Dried Hops,Kool-Aid
Hopsource 2022 - Washington,Dried Hops,Nice mix of floral citrus Tropical and stone fruit
Hopsource 2022 - Washington,Dried Hops,Excellent dank
Hopsource 2022 - Washington,Dried Hops,This this this this this
Hopsource 2022 - Washington,Dried Hops,Canned pineapple and juice
Hopsource 2022 - Washington,Dried Hops,Touch of herb to make it natural and not artificial
Hopsource 2022 - Washington,Dried Hops,Huge tropical bomb
Hopsource 2022 - Washington,Dried Hops,Mango and papaya and slight pineapple. There's some ripe honeydew melon there too.
Hopsource 2022 - Washington,Dried Hops,Pineapple. Orange. Spicy. Lots of melon as well. Slight watermelon. 
Hopsource 2023 - Idaho,Dried Hops,"Grape, fruity tropical - a little fusel"
Hopsource 2023 - Idaho,Dried Hops,"High fruity, cantaloupe, bubblegum"
Hopsource 2023 - Idaho,Dried Hops,Delightful citrus fruity tropical
Hopsource 2023 - Idaho,Dried Hops,awesome!
Hopsource 2023 - Idaho,Dried Hops,Peachy with some light anise
Hopsource 2023 - Idaho,Dried Hops,Huge orange zest with garlic
Hopsource 2023 - Idaho,Dried Hops,"Fruity, sweet, guava"
Hopsource 2023 - Idaho,Dried Hops,Anise
Hopsource 2023 - Idaho,Dried Hops,Bubble gum
Hopsource 2023 - Idaho,Dried Hops,Welch’s grape juice. Grapes and dark fruit. 
Hopsource 2023 - Idaho,Dried Hops,Lots of orange zest- citronella interesting. IPA or blonde ale
Hopsource 2023 - Idaho,Dried Hops,"Wow, strawberries, fruit cup"
Hopsource 2023 - Idaho,Dried Hops,"Grapefruit, passion fruit, berry, lime, slight green onion but not bad."
Hopsource 2023 - Idaho,Dried Hops,rainbow sherbert
